PRODI,STATUS,ASAL_SEKOLAH,SEKOLAH_JURUSAN,ALAMAT_SEKOLAH,KERJA_AYAH,KETERANGAN_AYAH,JENJANG_SEBELUMNYA,JENIS_SELEKSI,ASAL_KOTA,ASAL_PROVINSI,DEPARTEMEN,PENGHASILAN_KATEGORI,TAHUN ANGKATAN,IPK_2023_GENAP,IPK_2023_GANJIL,IPK_2022_GENAP,IPK_2022_GANJIL,IPK_2021_GENAP,IPK_2021_GANJIL,BEASISWA_LAIN,BEASISWA_KIPK,PRESTASI,Prosentase_Kehadiran
D3-Teknik Elektronika,L,SMAN 1 KEDUNGWARU,Lainnya,"JL. DR. WAHIDIN SUDIRO HUSODO 12, Tulungagung",Pegawai Swasta,Hidup,SMA,Seleksi Jalur Prestasi Nasional (Negeri),Tulungagung,Jawa Timur,Departemen Teknik Elektro,6-10 juta,2021,3.53,3.54,3.43,3.35,3.34,3.33,0,0,0,97.24666666666668
D3-Teknik Elektronika,L,SMAN 3 SIDOARJO,IPA,"JL. DR. WAHIDIN NO. 130 SIDOARJO, Sidoarjo",Tidak Bekerja,Hidup,SMA,Seleksi Jalur Mandiri,Sidoarjo,Jawa Timur,Departemen Teknik Elektro,0-1 juta,2021,3.3,3.32,3.27,3.25,3.11,3.25,1,0,0,93.46999999999998
D3-Teknik Elektronika,L,MAN SURABAYA,Lainnya,"JL. BENDUL MERISI SELATAN 9 NO. 20 SURABAYA, Surabaya",Pegawai Swasta,Hidup,MA,Seleksi Jalur Prestasi Nasional (Negeri),Surabaya,Jawa Timur,Departemen Teknik Elektro,2.5-4 juta,2021,3.31,3.32,3.15,3.13,3.05,3.25,0,0,0,88.77666666666666
D3-Teknik Elektronika,L,MAN NGANJUK,Lainnya,"JL. JEND. S. PARMAN I/15, NGANJUK, Nganjuk",PNS/ASN,Hidup,MA,Seleksi Jalur Prestasi Nasional (Negeri),Nganjuk,Jawa Timur,Departemen Teknik Elektro,6-10 juta,2021,3.39,3.4,3.25,3.14,3.07,3.18,0,0,0,96.88666666666668
D3-Teknik Elektronika,L,SMAN 1 GRESIK,Lainnya,"JL. ARIF RAHMAN HAKIM NO. 1 GRESIK, Gresik",Pegawai Swasta,Hidup,SMA,Seleksi Jalur Prestasi Nasional (Negeri),Gresik,Jawa Timur,Departemen Teknik Elektro,4-6 juta,2021,3.67,3.66,3.58,3.55,3.54,3.49,0,0,0,96.04666666666668
D3-Teknik Elektronika,L,SMAN TEMPEH,IPA,"JL. RAYA TEMPEH, Lumajang",Wiraswasta/Wirausaha,Hidup,SMA,Seleksi Jalur Tes Nasional (Negeri),Lumajang,Jawa Timur,Departemen Teknik Elektro,1 juta-2.5 juta,2021,3.45,3.47,3.34,3.22,3.14,3.33,0,0,0,97.05666666666669
D3-Teknik Elektronika,L,SMK MIGAS MUHAMMADIYAH CILACAP,Teknik Perminyakan,"JL. TRITIH LOR KEC. JERUK LEGI, KAB. CILACAP, JAWA TENGAH, Cilacap",Wiraswasta/Wirausaha,Hidup,SMK,Seleksi Jalur Tes Nasional (Negeri),Cilacap,Jawa Tengah,Departemen Teknik Elektro,1 juta-2.5 juta,2021,3.52,3.52,3.39,3.29,3.16,3.35,1,0,8,89.35000000000001
D3-Teknik Elektronika,L,SMAN 2 KEDIRI,IPA,"JL. VETERAN NO. 7 KEDIRI, Kediri",Pegawai Swasta,Hidup,SMA,Seleksi Jalur Tes Nasional (Negeri),Kediri,Jawa Timur,Departemen Teknik Elektro,1 juta-2.5 juta,2021,3.58,3.59,3.49,3.43,3.36,3.36,0,1,0,96.21666666666664
D3-Teknik Elektronika,K,SMAN 1 BREBES,IPA,"JALAN DR. SETIABUDI NO.11 KAB. BREBES JAWA TENGAH 52212
 , Brebes",Pegawai Swasta,Hidup,SMA,Seleksi Jalur Tes Nasional (Negeri),Brebes,Jawa Tengah,Departemen Teknik Elektro,4-6 juta,2021,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
D3-Teknik Elektronika,K,SMAN 1 PENGASIH,IPA,"JALAN KRT KERTODININGRAT 41, GUNUNG GONDANG, MARGOSARI, PENGASIH, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA 55652, Kulonprogo",Pegawai Swasta,Hidup,SMA,Seleksi Jalur Tes Nasional (Negeri),Kulonprogo,Kulonprogo,Departemen Teknik Elektro,1 juta-2.5 juta,2021,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
